Date,Open,High,Low,Close,Volume
02/17/2023,"151.20","155.25","151.20","155.25","628,469"
02/16/2023,"141.00","147.90","141.00","147.90","4,164,614"
02/15/2023,"140.90","140.90","140.90","140.90","291,274"
02/14/2023,"148.30","148.30","148.30","148.30","207,621"
02/13/2023,"156.10","160.75","156.10","156.10","1,004,313"
02/10/2023,"164.30","164.30","164.30","164.30","317,687"
02/09/2023,"172.90","172.90","172.90","172.90","836,952"
02/08/2023,"172.75","182.00","170.85","182.00","4,893,914"
02/07/2023,"173.35","186.00","173.35","173.35","13,770,320"
02/06/2023,"182.45","182.45","182.45","182.45","193,534"
02/03/2023,"192.05","192.05","192.05","192.05","162,654"
02/02/2023,"202.15","202.15","202.15","202.15","110,268"
02/01/2023,"216.15","223.00","212.75","212.75","1,686,100"
01/31/2023,"223.90","223.90","223.90","223.90","261,319"
01/30/2023,"235.65","235.65","235.65","235.65","527,922"
01/27/2023,"248.80","250.45","248.05","248.05","673,860"
01/25/2023,"272.50","273.05","261.10","261.10","763,428"
01/24/2023,"273.05","279.10","272.30","274.80","305,552"
01/23/2023,"275.30","276.90","271.80","273.25","101,441"
01/20/2023,"277.00","277.45","273.50","275.00","214,814"
01/19/2023,"276.10","280.00","273.25","277.90","292,220"
01/18/2023,"281.70","282.60","277.00","278.70","111,424"
01/17/2023,"274.80","283.00","271.75","281.80","437,898"
01/16/2023,"282.95","282.95","271.40","273.20","367,484"
01/13/2023,"273.75","280.00","272.25","278.70","206,984"
01/12/2023,"276.40","280.75","270.15","273.55","421,163"
01/11/2023,"282.00","283.65","272.05","276.30","372,508"
01/10/2023,"286.50","287.55","274.90","279.40","299,632"
01/09/2023,"286.00","294.10","285.15","287.60","357,449"
01/06/2023,"289.15","291.00","281.50","283.40","376,271"
01/05/2023,"286.90","293.05","277.05","288.80","426,749"
01/04/2023,"295.00","296.05","285.00","286.85","488,159"
01/03/2023,"298.20","301.00","292.20","294.80","199,168"
01/02/2023,"300.60","304.90","294.10","298.15","301,169"
12/30/2022,"304.70","308.00","298.00","299.40","181,763"
12/29/2022,"305.00","310.00","290.00","304.45","499,669"
12/28/2022,"292.00","303.55","291.00","303.55","444,699"
12/27/2022,"275.00","289.10","272.00","289.10","615,838"
12/26/2022,"249.15","275.35","249.15","275.35","618,337"
12/23/2022,"265.50","267.55","262.25","262.25","879,472"
12/22/2022,"290.00","290.45","276.05","276.05","1,151,468"
12/21/2022,"306.05","309.00","290.55","290.55","772,091"
12/20/2022,"307.60","308.95","301.10","305.80","183,117"
12/19/2022,"308.25","310.00","300.65","305.75","564,690"
12/16/2022,"313.95","317.50","306.10","308.25","560,295"
12/15/2022,"320.00","322.55","314.45","315.45","453,503"
12/14/2022,"323.00","326.80","317.45","319.40","578,120"
12/13/2022,"310.00","325.80","310.00","323.50","1,072,067"
12/12/2022,"313.55","317.40","307.45","310.30","239,389"
12/09/2022,"323.00","326.00","310.45","316.00","266,744"
12/08/2022,"325.05","329.15","323.00","323.40","129,096"
12/07/2022,"325.25","328.05","323.20","324.35","267,531"
12/06/2022,"320.35","332.00","320.35","325.30","240,211"
12/05/2022,"324.20","327.00","322.05","323.00","368,696"
12/02/2022,"328.55","329.90","324.10","325.35","276,584"
12/01/2022,"337.05","340.00","328.70","330.30","299,216"
11/30/2022,"324.75","336.00","322.05","331.90","513,517"
11/29/2022,"328.60","333.00","324.00","324.75","186,798"
11/28/2022,"325.45","338.05","325.45","328.15","255,085"
11/25/2022,"325.00","327.25","319.05","323.45","235,272"
11/24/2022,"326.25","329.60","323.00","325.00","184,700"
11/23/2022,"325.10","332.80","322.00","326.00","109,011"
11/22/2022,"329.50","334.80","325.00","328.45","191,092"
11/21/2022,"332.75","336.50","322.15","331.30","203,734"
11/18/2022,"335.25","345.00","325.25","336.50","263,892"
11/17/2022,"338.30","344.85","335.00","337.00","140,880"
11/16/2022,"352.50","358.95","340.50","345.00","145,060"
11/15/2022,"355.30","358.65","351.60","356.45","161,774"
11/14/2022,"349.10","365.00","342.10","359.30","1,476,937"
11/11/2022,"375.05","378.00","353.15","360.10","288,085"
11/10/2022,"361.00","375.00","351.10","370.25","259,925"
11/09/2022,"343.85","365.60","343.85","365.20","301,416"
11/07/2022,"343.35","352.00","343.00","348.20","139,318"
